k,g,picture,brightness,quality_value
1.5,0.75,Bunt,103.440234921044,-1.02
0.75,1.25,DunkelStadt,57.461932560403802,-2.1400000000000001
0.5,1.5,DunkelRaum,84.542855590662498,-3
1.25,1,Detailarm,195.98092322969899,0
0.5,1.25,DunkelStadt,57.461932560403802,-2.1200000000000001
0.5,1,DunkelCanyon,64.577521075824905,-2.0499999999999998
0.75,1,Bunt,103.440234921044,1.0700000000000001
0.75,1.25,DunkelCanyon,64.577521075824905,-1.1000000000000001
0.75,1,DunkelCanyon,64.577521075824905,-1.02
0.75,0.75,Abstrakt,37.1927038842596,1.1000000000000001
1,1.25,Einfarbig,214.43341924490801,0
1,1.25,DunkelCanyon,64.577521075824905,0
1.25,1.5,Bunt,103.440234921044,-0.98999999999999999
1,0.75,DunkelRaum,84.542855590662498,1
1,0.75,DunkelCanyon,64.577521075824905,-1.0700000000000001
0.5,0.75,Abstrakt,37.1927038842596,-1.02
1.5,1.5,DunkelStadt,57.461932560403802,-1.1100000000000001
1.5,1,Detailarm,195.98092322969899,-0.02
1.5,0.5,DunkelCanyon,64.577521075824905,-1.0600000000000001
1.25,1.25,Einfarbig,214.43341924490801,-0.93000000000000005
1.25,1.25,DunkelRaum,84.542855590662498,-1.02
1.25,1.5,Detailarm,195.98092322969899,-1.02
1.25,1.25,Bunt,103.440234921044,0
0.5,1,DunkelRaum,84.542855590662498,-2.1499999999999999
1.5,0.5,Detailarm,195.98092322969899,-1
1.25,0.5,Bunt,103.440234921044,-0.65000000000000002
1,1.5,Abstrakt,37.1927038842596,-1.5800000000000001
1.25,0.75,DunkelRaum,84.542855590662498,1.4299999999999999
0.75,1.5,Abstrakt,37.1927038842596,-2.4300000000000002
0.75,0.75,Detailarm,195.98092322969899,-1.3300000000000001
0.75,0.75,DunkelRaum,84.542855590662498,1.5
1.5,0.75,Einfarbig,214.43341924490801,-0.76000000000000001
0.75,0.75,DunkelStadt,57.461932560403802,0.25
1.25,0.75,DunkelCanyon,64.577521075824905,-1.02
1.5,1.25,DunkelCanyon,64.577521075824905,-2.0600000000000001
0.75,1.5,Einfarbig,214.43341924490801,-0.35999999999999999
0.5,1,DunkelStadt,57.461932560403802,-1.5800000000000001
0.5,1,Abstrakt,37.1927038842596,-1.4399999999999999
1.5,1.25,DunkelStadt,57.461932560403802,-1.03
1.25,1.25,Abstrakt,37.1927038842596,0
1.25,0.5,DunkelStadt,57.461932560403802,-2.04
1.25,0.75,Abstrakt,37.1927038842596,1.45
1.5,0.75,DunkelCanyon,64.577521075824905,-0.57999999999999996
0.75,1,DunkelRaum,84.542855590662498,-1.0900000000000001
1.25,1,Bunt,103.440234921044,0
1.5,0.75,Abstrakt,37.1927038842596,0.28000000000000003
0.5,1.25,DunkelRaum,84.542855590662498,-3
1.25,1.25,DunkelCanyon,64.577521075824905,0.35999999999999999
0.75,1.5,DunkelRaum,84.542855590662498,-1.75
0.75,0.75,Bunt,103.440234921044,-0.44
1.5,0.5,DunkelStadt,57.461932560403802,-2.4300000000000002
0.75,0.75,DunkelCanyon,64.577521075824905,-2.1299999999999999
1,1.25,Abstrakt,37.1927038842596,-1.46
0.5,1.5,DunkelCanyon,64.577521075824905,-2.9500000000000002
1.5,1.5,Einfarbig,214.43341924490801,-2.1499999999999999
0.5,0.75,Detailarm,195.98092322969899,-3
1,1.5,Detailarm,195.98092322969899,-1.02
1.5,1,Einfarbig,214.43341924490801,-2.0699999999999998
0.5,0.75,Einfarbig,214.43341924490801,-3
1,0.5,Einfarbig,214.43341924490801,-2.4300000000000002
1,0.75,Detailarm,195.98092322969899,0.23999999999999999
1.5,1.5,DunkelRaum,84.542855590662498,-2.0600000000000001
0.75,0.5,DunkelCanyon,64.577521075824905,-2.4900000000000002
1,0.75,Abstrakt,37.1927038842596,0.44
1.5,1.25,Detailarm,195.98092322969899,-2.1000000000000001
1,0.5,DunkelRaum,84.542855590662498,-2.1000000000000001
0.5,1.5,Einfarbig,214.43341924490801,-1.03
1.5,0.5,Abstrakt,37.1927038842596,1.52
1.25,0.75,Detailarm,195.98092322969899,0
0.5,0.5,DunkelStadt,57.461932560403802,-2.1000000000000001
1.5,1.25,Bunt,103.440234921044,-1.74
0.75,1,Detailarm,195.98092322969899,-0.97999999999999998
0.75,0.5,DunkelStadt,57.461932560403802,-2.0800000000000001
1,0.5,DunkelStadt,57.461932560403802,-1.71
0.75,0.5,Bunt,103.440234921044,-2.27
1.25,1.25,Detailarm,195.98092322969899,-0.45000000000000001
0.5,1.5,DunkelStadt,57.461932560403802,-3
0.75,1.25,DunkelRaum,84.542855590662498,-1.26
0.5,1.25,Bunt,103.440234921044,-2.0600000000000001
0.5,0.75,DunkelCanyon,64.577521075824905,-2.0800000000000001
1.5,0.5,Bunt,103.440234921044,-1.05
0.5,1,Detailarm,195.98092322969899,-3
0.5,0.75,DunkelRaum,84.542855590662498,-1.01
0.75,1.25,Einfarbig,214.43341924490801,0
1.5,1.5,DunkelCanyon,64.577521075824905,-2.3100000000000001
1.5,0.5,DunkelRaum,84.542855590662498,-2.5099999999999998
1,0.5,Abstrakt,37.1927038842596,1.6299999999999999
1,0.5,DunkelCanyon,64.577521075824905,-2.5699999999999998
0.75,1.25,Detailarm,195.98092322969899,-0.55000000000000004
0.75,1.5,Detailarm,195.98092322969899,-0.98999999999999999
1.5,1,Abstrakt,37.1927038842596,1.3
1.25,1,Einfarbig,214.43341924490801,-1.3700000000000001
1.25,0.5,Einfarbig,214.43341924490801,0.68999999999999995
0.75,0.75,Einfarbig,214.43341924490801,-1.99
0.75,1.5,DunkelCanyon,64.577521075824905,-2.6699999999999999
0.75,0.5,Einfarbig,214.43341924490801,-3
1.25,0.5,Abstrakt,37.1927038842596,0.98999999999999999
0.5,1.5,Abstrakt,37.1927038842596,-3
1.5,0.75,DunkelStadt,57.461932560403802,-1.2
1,1.5,Einfarbig,214.43341924490801,-1.05
1,0.75,Bunt,103.440234921044,0
1,1.5,DunkelCanyon,64.577521075824905,-2.0699999999999998
1.25,1.5,DunkelCanyon,64.577521075824905,-2.0800000000000001
1,1.25,Detailarm,195.98092322969899,-0.31
0.75,1.25,Abstrakt,37.1927038842596,-2.1200000000000001
0.75,1,DunkelStadt,57.461932560403802,-1
1.25,0.5,Detailarm,195.98092322969899,-0.34000000000000002
1.5,1,DunkelRaum,84.542855590662498,-1.55
1,0.75,DunkelStadt,57.461932560403802,-1.05
1.25,1,DunkelStadt,57.461932560403802,0.11
0.75,0.5,DunkelRaum,84.542855590662498,-2.75
1.25,1.25,DunkelStadt,57.461932560403802,-1.0800000000000001
1.5,1.25,Abstrakt,37.1927038842596,0.29999999999999999
1.5,1.25,DunkelRaum,84.542855590662498,-2.3700000000000001
0.5,0.5,Detailarm,195.98092322969899,-3
1.25,1,Abstrakt,37.1927038842596,0.32000000000000001
0.5,0.5,Abstrakt,37.1927038842596,-2.5299999999999998
0.5,1,Einfarbig,214.43341924490801,-2.0099999999999998
0.75,1,Einfarbig,214.43341924490801,-0.44
0.75,0.5,Detailarm,195.98092322969899,-2.46
0.5,1.25,Abstrakt,37.1927038842596,-3
1.25,1.5,Einfarbig,214.43341924490801,-3
0.5,0.5,DunkelCanyon,64.577521075824905,-3
0.5,0.75,Bunt,103.440234921044,-3
