k,g,picture,brightness,quality_value
1,1.5,DunkelStadt,57.461932560403802,-1.05
1.25,1.25,DunkelCanyon,64.577521075824905,-1.3
1.5,1.5,DunkelRaum,84.542855590662498,-0.56000000000000005
1.25,1,DunkelStadt,57.461932560403802,0
0.75,1.5,DunkelStadt,57.461932560403802,-1.52
0.5,1.25,Abstrakt,37.1927038842596,-2.0299999999999998
0.5,1.5,DunkelCanyon,64.577521075824905,-2.1400000000000001
0.75,0.5,Abstrakt,37.1927038842596,-1.46
1,1.5,Bunt,103.440234921044,-0.90000000000000002
0.75,0.75,Bunt,103.440234921044,-1.3700000000000001
0.5,0.75,DunkelRaum,84.542855590662498,-0.60999999999999999
1.5,1.5,Bunt,103.440234921044,-1.5800000000000001
1,0.5,DunkelStadt,57.461932560403802,-0.52000000000000002
1,0.75,Einfarbig,214.43341924490801,-0.66000000000000003
0.5,1,Detailarm,195.98092322969899,-0.97999999999999998
1.25,1.5,Abstrakt,37.1927038842596,1.03
0.5,0.5,DunkelStadt,57.461932560403802,-1.3300000000000001
1.25,0.75,Abstrakt,37.1927038842596,1.22
0.5,1,DunkelCanyon,64.577521075824905,-1.1200000000000001
1.25,1.5,Einfarbig,214.43341924490801,-0.5
1.5,0.75,DunkelRaum,84.542855590662498,0.40000000000000002
1,1.25,Einfarbig,214.43341924490801,0.68999999999999995
0.5,1.25,DunkelRaum,84.542855590662498,-0.83999999999999997
0.75,0.5,Bunt,103.440234921044,-0.73999999999999999
1.25,0.75,Detailarm,195.98092322969899,0.64000000000000001
0.5,1,DunkelRaum,84.542855590662498,-0.39000000000000001
1,1.25,DunkelStadt,57.461932560403802,-0.51000000000000001
1,1.5,Abstrakt,37.1927038842596,1.1399999999999999
0.75,1,DunkelCanyon,64.577521075824905,-1.0800000000000001
0.5,1.5,Einfarbig,214.43341924490801,-0.5
1.5,0.5,Detailarm,195.98092322969899,0.42999999999999999
0.5,1.5,DunkelStadt,57.461932560403802,-1.76
1.25,0.5,DunkelCanyon,64.577521075824905,1.02
0.5,1.5,Bunt,103.440234921044,-1.1599999999999999
1,1.5,Detailarm,195.98092322969899,-0.66000000000000003
1.25,0.5,DunkelRaum,84.542855590662498,1.1599999999999999
0.5,1.25,Einfarbig,214.43341924490801,-0.79000000000000004
0.75,1.5,Bunt,103.440234921044,-1.4099999999999999
0.75,0.75,DunkelCanyon,64.577521075824905,-1.3300000000000001
0.5,1,Einfarbig,214.43341924490801,-1.26
0.5,0.75,Bunt,103.440234921044,-1.1799999999999999
1,0.75,Abstrakt,37.1927038842596,1.3200000000000001
1.5,1.5,Abstrakt,37.1927038842596,1.1699999999999999
0.75,0.75,DunkelRaum,84.542855590662498,-1.3100000000000001
0.75,1.25,Detailarm,195.98092322969899,-1.1499999999999999
0.75,0.5,Detailarm,195.98092322969899,-1.3200000000000001
0.75,1,Detailarm,195.98092322969899,-1.1000000000000001
1,0.5,DunkelCanyon,64.577521075824905,0.62
0.5,0.5,Abstrakt,37.1927038842596,-0.71999999999999997
1.5,0.5,DunkelCanyon,64.577521075824905,-0.81999999999999995
1,0.75,Bunt,103.440234921044,1.05
1,0.5,DunkelRaum,84.542855590662498,1.01
0.75,1.25,Einfarbig,214.43341924490801,-0.81000000000000005
1,1.25,DunkelRaum,84.542855590662498,-0.84999999999999998
0.75,0.5,DunkelCanyon,64.577521075824905,-0.79000000000000004
1.25,1.5,DunkelStadt,57.461932560403802,-0.88
0.5,0.5,DunkelRaum,84.542855590662498,-0.95999999999999996
1,0.75,DunkelRaum,84.542855590662498,0.70999999999999996
