k,g,picture,brightness,quality_value
0.5,0.75,HellRaum,181.23700512563599,-0.81999999999999995
0.75,0.5,Natur,116.705736073534,-1.04
0.5,1.5,HellStrand,174.530514509044,-1.27
0.5,1,Kontrastreich,128.555496706702,-1.1899999999999999
1.5,0.75,HellRaum,181.23700512563599,-1.0600000000000001
1.25,1,Kontrastreich,128.555496706702,0.34999999999999998
0.5,1.25,MenschenMenge,128.65299080966099,-1.4099999999999999
1,0.5,Natur,116.705736073534,-0.93999999999999995
0.5,0.75,Natur,116.705736073534,-1.8300000000000001
0.75,1.5,HellStrand,174.530514509044,-1.0800000000000001
1.5,0.5,Kontrastreich,128.555496706702,-0.48999999999999999
1.5,1.5,HellRaum,181.23700512563599,-2.0600000000000001
1.25,0.5,HellStrand,174.530514509044,0.59999999999999998
1,1.25,Tiere,136.93221291266599,0.46999999999999997
1.5,1,MenschenMenge,128.65299080966099,-0.90000000000000002
0.75,1,Gebäude,135.558353280413,-1.01
1,0.5,Kontrastreich,128.555496706702,-1.4099999999999999
1,1.25,HellStrand,174.530514509044,-0.96999999999999997
1.25,0.75,Tiere,136.93221291266599,0.95999999999999996
1.5,1.5,HellFace,207.936103853059,-3
0.5,1,MenschenMenge,128.65299080966099,-2.1200000000000001
1.25,1,Natur,116.705736073534,0.66000000000000003
1,0.75,MenschenMenge,128.65299080966099,-0.91000000000000003
1.5,1.5,MenschenMenge,128.65299080966099,-1.8400000000000001
0.75,0.75,HellStrand,174.530514509044,-0.96999999999999997
0.5,1.5,HellFace,207.936103853059,-1.73
1,1.25,Natur,116.705736073534,1.0600000000000001
1.5,1.5,Tiere,136.93221291266599,-1.79
0.5,0.5,HellStrand,174.530514509044,-2.1000000000000001
1.5,1,Gebäude,135.558353280413,-1.21
0.5,0.5,Natur,116.705736073534,-1.29
0.5,0.5,Gebäude,135.558353280413,-1.6599999999999999
1.5,1.5,Kontrastreich,128.555496706702,-1.1200000000000001
0.5,1,HellStrand,174.530514509044,-1.3400000000000001
1.25,0.5,Kontrastreich,128.555496706702,-1.0700000000000001
0.5,0.75,MenschenMenge,128.65299080966099,-1.53
1,1.5,Natur,116.705736073534,-1.05
1.5,0.75,Gebäude,135.558353280413,0.90000000000000002
1.5,0.75,HellFace,207.936103853059,-1.73
1.5,1.25,Gebäude,135.558353280413,-1.4099999999999999
1.25,1.25,Gebäude,135.558353280413,-1.0600000000000001
1.25,1.25,MenschenMenge,128.65299080966099,-1.01
1.5,0.75,Tiere,136.93221291266599,-1.21
1.5,0.5,HellFace,207.936103853059,-1.5700000000000001
0.75,0.75,Kontrastreich,128.555496706702,-1.1100000000000001
0.75,1,Kontrastreich,128.555496706702,-1.0900000000000001
0.75,1.5,Tiere,136.93221291266599,-0.92000000000000004
1.5,1,HellStrand,174.530514509044,-1.04
0.5,1,Gebäude,135.558353280413,-1.02
1.25,0.75,HellFace,207.936103853059,-0.82999999999999996
0.5,1,Tiere,136.93221291266599,-1.53
0.75,1.25,Tiere,136.93221291266599,-1.03
1.25,1.5,Natur,116.705736073534,-1.0700000000000001
1.25,1.5,Tiere,136.93221291266599,-1.55
0.5,0.5,Tiere,136.93221291266599,-1.3300000000000001
1,0.75,Kontrastreich,128.555496706702,-0.98999999999999999
0.75,0.5,Gebäude,135.558353280413,-1.3600000000000001
1.25,1,HellStrand,174.530514509044,0.98999999999999999
0.75,1,Tiere,136.93221291266599,-1.1899999999999999
1.5,0.5,Gebäude,135.558353280413,-0.97999999999999998
1.5,1,Kontrastreich,128.555496706702,1
0.75,0.5,HellStrand,174.530514509044,-1.8899999999999999
0.75,0.75,Gebäude,135.558353280413,-1.27
0.75,0.5,Tiere,136.93221291266599,-1.75
1.25,1.25,HellRaum,181.23700512563599,-0.98999999999999999
0.75,0.75,Tiere,136.93221291266599,-1.1799999999999999
1.25,1.5,HellStrand,174.530514509044,0.45000000000000001
1.5,1,Tiere,136.93221291266599,-0.82999999999999996
1.5,0.75,HellStrand,174.530514509044,-0.80000000000000004
1.5,1.25,MenschenMenge,128.65299080966099,-1.3600000000000001
1.25,1.5,MenschenMenge,128.65299080966099,-1.1200000000000001
0.5,1.5,Gebäude,135.558353280413,-1.72
0.75,1,MenschenMenge,128.65299080966099,-1.04
0.5,1,HellRaum,181.23700512563599,-0.93999999999999995
0.5,1.5,Kontrastreich,128.555496706702,-1.99
0.75,0.75,Natur,116.705736073534,-1.1200000000000001
1,1.5,HellRaum,181.23700512563599,-1.1899999999999999
1.25,0.75,Gebäude,135.558353280413,1.0700000000000001
0.75,1.25,Kontrastreich,128.555496706702,-1.3999999999999999
1.25,1,MenschenMenge,128.65299080966099,0.56999999999999995
1,0.75,Gebäude,135.558353280413,-0.76000000000000001
0.5,1.25,Gebäude,135.558353280413,-1.8200000000000001
0.75,1.25,MenschenMenge,128.65299080966099,-1.1799999999999999
1,1.5,HellFace,207.936103853059,0.45000000000000001
1.5,1.25,HellRaum,181.23700512563599,-1.0700000000000001
1.5,0.75,Natur,116.705736073534,-0.83999999999999997
1.25,0.5,MenschenMenge,128.65299080966099,-1.26
1,0.5,Gebäude,135.558353280413,-1.0600000000000001
0.5,1,HellFace,207.936103853059,-0.96999999999999997
1.25,0.75,HellRaum,181.23700512563599,-1.05
0.5,1.25,HellRaum,181.23700512563599,-1.1100000000000001
1.25,1.25,Tiere,136.93221291266599,-1.1899999999999999
0.75,0.5,Kontrastreich,128.555496706702,-1.1599999999999999
1.25,1.25,Natur,116.705736073534,-1.1899999999999999
1,1.25,Gebäude,135.558353280413,1.0800000000000001
0.75,0.75,HellRaum,181.23700512563599,1.0600000000000001
0.75,1,HellStrand,174.530514509044,-1.1200000000000001
1.5,1.25,HellFace,207.936103853059,-1.29
1.25,1.25,HellStrand,174.530514509044,0.65000000000000002
1.25,1.25,HellFace,207.936103853059,-1.27
1.25,0.5,Natur,116.705736073534,-1.49
0.75,1.5,HellFace,207.936103853059,-0.90000000000000002
1.25,1.25,Kontrastreich,128.555496706702,-1.01
0.75,1.25,Natur,116.705736073534,-1.0600000000000001
1.5,0.75,Kontrastreich,128.555496706702,-1.04
1.5,1.25,Tiere,136.93221291266599,-1.3700000000000001
0.5,1.25,HellFace,207.936103853059,-1.1699999999999999
0.5,0.5,MenschenMenge,128.65299080966099,-1.3500000000000001
1.5,0.5,Natur,116.705736073534,-1.3799999999999999
0.75,0.5,HellRaum,181.23700512563599,-1.4099999999999999
0.5,1.5,HellRaum,181.23700512563599,-1
1.5,1,Natur,116.705736073534,-1.3100000000000001
0.75,1.5,Gebäude,135.558353280413,-1.02
0.5,1.5,Tiere,136.93221291266599,-1.27
0.75,1.5,MenschenMenge,128.65299080966099,-1.28
0.75,1.5,Natur,116.705736073534,-1.2
1.5,0.5,HellRaum,181.23700512563599,-1.1200000000000001
1,1.25,HellRaum,181.23700512563599,-1.03
1.25,1.5,Gebäude,135.558353280413,-1.1200000000000001
1.25,1.5,HellFace,207.936103853059,-2.2400000000000002
1.25,0.75,HellStrand,174.530514509044,1.04
1.25,1.5,HellRaum,181.23700512563599,-1.1399999999999999
1,1.5,MenschenMenge,128.65299080966099,-1.21
1.25,0.5,HellRaum,181.23700512563599,1.1299999999999999
1,1.5,HellStrand,174.530514509044,-1.1799999999999999
1,1.5,Gebäude,135.558353280413,-1.0700000000000001
0.75,0.5,HellFace,207.936103853059,-1.6000000000000001
0.75,0.75,MenschenMenge,128.65299080966099,-1.0700000000000001
0.75,0.5,MenschenMenge,128.65299080966099,-1.47
0.75,1.5,HellRaum,181.23700512563599,-0.83999999999999997
1.25,1,HellRaum,181.23700512563599,1.1200000000000001
1,1.25,MenschenMenge,128.65299080966099,-1.1299999999999999
0.75,1.25,HellRaum,181.23700512563599,1.0700000000000001
0.75,1.25,HellFace,207.936103853059,-1.0700000000000001
1.5,1.5,HellStrand,174.530514509044,-1.3200000000000001
1.25,0.75,Kontrastreich,128.555496706702,1.05
0.75,1.25,Gebäude,135.558353280413,-1.21
1.5,1,HellRaum,181.23700512563599,-1.3500000000000001
0.5,0.75,HellFace,207.936103853059,-1.97
1,0.5,HellStrand,174.530514509044,-1.0800000000000001
0.5,0.75,HellStrand,174.530514509044,-0.95999999999999996
1,0.75,HellStrand,174.530514509044,-0.91000000000000003
0.5,0.5,HellFace,207.936103853059,-2.0099999999999998
1.25,1,Tiere,136.93221291266599,-1.05
1,0.5,Tiere,136.93221291266599,-1.6299999999999999
0.75,1,Natur,116.705736073534,-1.24
0.75,0.75,HellFace,207.936103853059,-1.47
1.25,0.75,MenschenMenge,128.65299080966099,-1.0600000000000001
1.5,1.25,HellStrand,174.530514509044,-1.5
1,1.5,Tiere,136.93221291266599,-1.3100000000000001
1.25,0.75,Natur,116.705736073534,0.98999999999999999
0.75,1,HellRaum,181.23700512563599,0.97999999999999998
0.5,1.25,Tiere,136.93221291266599,-1.54
1.5,1.25,Natur,116.705736073534,-1.4099999999999999
1.5,1,HellFace,207.936103853059,-1.6599999999999999
1.5,0.5,HellStrand,174.530514509044,-1.1100000000000001
1,1.25,HellFace,207.936103853059,-1.1299999999999999
1,0.75,HellRaum,181.23700512563599,1.1100000000000001
0.5,1,Natur,116.705736073534,-1.26
1.25,0.5,Gebäude,135.558353280413,-0.96999999999999997
0.5,1.5,Natur,116.705736073534,-1.47
0.5,1.25,Natur,116.705736073534,-1.3400000000000001
0.5,1.25,Kontrastreich,128.555496706702,-1.3400000000000001
0.5,1.25,HellStrand,174.530514509044,-1.4099999999999999
0.5,1.5,MenschenMenge,128.65299080966099,-1.3799999999999999
0.5,0.5,Kontrastreich,128.555496706702,-1.46
1,0.75,Tiere,136.93221291266599,-1.04
1,1.25,Kontrastreich,128.555496706702,0.94999999999999996
0.5,0.75,Kontrastreich,128.555496706702,-1.4199999999999999
1.25,1.5,Kontrastreich,128.555496706702,-1.23
1.5,1.5,Gebäude,135.558353280413,-1.1599999999999999
0.5,0.75,Gebäude,135.558353280413,-1.6399999999999999
1,0.5,HellFace,207.936103853059,-1.49
1.25,0.5,Tiere,136.93221291266599,-1.6599999999999999
1.5,0.5,MenschenMenge,128.65299080966099,-1.72
1,0.75,HellFace,207.936103853059,-1.03
1,0.5,HellRaum,181.23700512563599,-1.1200000000000001
0.75,1.5,Kontrastreich,128.555496706702,-1.3
0.5,0.75,Tiere,136.93221291266599,-2.0800000000000001
1.25,0.5,HellFace,207.936103853059,-2.04
1.25,1,HellFace,207.936103853059,-0.95999999999999996
0.5,0.5,HellRaum,181.23700512563599,-1.71
1,0.75,Natur,116.705736073534,-1.26
1.25,1,Gebäude,135.558353280413,0.54000000000000004
1,0.5,MenschenMenge,128.65299080966099,-1.1599999999999999
1.5,1.25,Kontrastreich,128.555496706702,-0.97999999999999998
0.75,1,HellFace,207.936103853059,-1.46
1.5,0.5,Tiere,136.93221291266599,-1.3799999999999999
1.5,0.75,MenschenMenge,128.65299080966099,-1.1899999999999999
1,1.5,Kontrastreich,128.555496706702,-1.1599999999999999
1.5,1.5,Natur,116.705736073534,-1.1100000000000001
0.75,1.25,HellStrand,174.530514509044,-1.21
1.5,1.25,DunkelStadt,57.461932560403802,0.95999999999999996
0.75,1.25,Bunt,103.440234921044,-1.1299999999999999
0.75,0.75,Einfarbig,214.43341924490801,-1.0600000000000001
1.25,0.5,DunkelStadt,57.461932560403802,-2.21
1,0.5,DunkelCanyon,64.577521075824905,-1.9299999999999999
0.75,1,DunkelStadt,57.461932560403802,-1.22
1,0.75,Detailarm,195.98092322969899,-1.03
1.25,1.5,DunkelRaum,84.542855590662498,-1.46
1.5,0.75,Detailarm,195.98092322969899,0.96999999999999997
1.5,1.5,Detailarm,195.98092322969899,-1.0600000000000001
1,1.25,Einfarbig,214.43341924490801,-1.0600000000000001
1.5,0.5,DunkelCanyon,64.577521075824905,-2.0699999999999998
0.75,1.5,Einfarbig,214.43341924490801,-0.51000000000000001
1,0.5,Bunt,103.440234921044,-0.76000000000000001
1.25,0.75,Abstrakt,37.1927038842596,1.05
0.75,0.5,Abstrakt,37.1927038842596,-0.94999999999999996
0.5,1.5,Detailarm,195.98092322969899,-1.8
0.5,0.5,Detailarm,195.98092322969899,-3
0.75,1.25,Abstrakt,37.1927038842596,-1.22
1,1.25,DunkelCanyon,64.577521075824905,0.97999999999999998
1.5,1.5,Einfarbig,214.43341924490801,-3
0.75,1.5,Bunt,103.440234921044,-1.98
1,1.5,DunkelCanyon,64.577521075824905,-1.47
0.5,0.75,Abstrakt,37.1927038842596,-1.1899999999999999
0.5,0.5,DunkelCanyon,64.577521075824905,-2.5899999999999999
1.25,1,DunkelStadt,57.461932560403802,0.34999999999999998
0.5,1.25,Detailarm,195.98092322969899,-1.4299999999999999
1.5,1,DunkelCanyon,64.577521075824905,-1.3400000000000001
1,0.5,DunkelStadt,57.461932560403802,-2.02
0.5,0.75,Detailarm,195.98092322969899,-2.1699999999999999
1.5,1,DunkelStadt,57.461932560403802,0.73999999999999999
1.5,0.5,Abstrakt,37.1927038842596,1.49
0.5,0.75,DunkelCanyon,64.577521075824905,-2.5699999999999998
1,1.5,Bunt,103.440234921044,-1.1299999999999999
1.5,0.75,Bunt,103.440234921044,1.0600000000000001
1.25,1.25,Bunt,103.440234921044,-1
0.75,0.5,DunkelRaum,84.542855590662498,0.81000000000000005
1,0.75,DunkelRaum,84.542855590662498,1.5900000000000001
1,1.25,Abstrakt,37.1927038842596,-1.0700000000000001
1,1.25,Bunt,103.440234921044,-1.1599999999999999
1.25,1,DunkelCanyon,64.577521075824905,0.95999999999999996
1.25,1.5,Bunt,103.440234921044,-1
1.25,0.5,DunkelRaum,84.542855590662498,-3
0.5,1,DunkelStadt,57.461932560403802,-1.03
1.25,0.75,DunkelRaum,84.542855590662498,1.0600000000000001
1.25,1,Detailarm,195.98092322969899,-0.01
1,1.25,DunkelStadt,57.461932560403802,-0.62
1,0.75,DunkelStadt,57.461932560403802,-0.96999999999999997
1.5,1,Abstrakt,37.1927038842596,1.1100000000000001
1.25,0.75,DunkelCanyon,64.577521075824905,-1.0600000000000001
0.5,1.25,Bunt,103.440234921044,-1.9199999999999999
1.25,1.25,Einfarbig,214.43341924490801,-1.8500000000000001
1.25,1.25,Detailarm,195.98092322969899,1.0900000000000001
1.25,1.25,DunkelRaum,84.542855590662498,-1.1799999999999999
1,0.75,DunkelCanyon,64.577521075824905,-1.3600000000000001
1,1.5,Einfarbig,214.43341924490801,-1.1299999999999999
1.5,1.25,DunkelRaum,84.542855590662498,-1.21
1.5,0.5,Einfarbig,214.43341924490801,-1.6100000000000001
1.5,1.25,DunkelCanyon,64.577521075824905,-2.1800000000000002
1.25,1,DunkelRaum,84.542855590662498,0.85999999999999999
1.25,1,Abstrakt,37.1927038842596,1.1299999999999999
0.75,1,Abstrakt,37.1927038842596,-1.1299999999999999
1.5,1.5,DunkelCanyon,64.577521075824905,-2.7200000000000002
0.5,1,Abstrakt,37.1927038842596,-2.04
1.25,0.5,Einfarbig,214.43341924490801,1.1599999999999999
