k,g,picture,brightness,quality_value
0.75,0.75,Abstrakt,37.1927038842596,-0.72999999999999998
1.25,1,Bunt,103.440234921044,0.35999999999999999
0.75,1.25,DunkelStadt,57.461932560403802,-1.03
0.75,1,Einfarbig,214.43341924490801,-1.1100000000000001
1.25,1.25,DunkelStadt,57.461932560403802,0.46999999999999997
1,0.75,DunkelStadt,57.461932560403802,-0.59999999999999998
1.5,1,DunkelStadt,57.461932560403802,0.20999999999999999
0.5,0.75,Detailarm,195.98092322969899,-2.4500000000000002
1,1.25,Bunt,103.440234921044,-0.44
1,0.5,Bunt,103.440234921044,-2.8599999999999999
1.25,0.5,Einfarbig,214.43341924490801,-1.01
0.5,1.5,DunkelRaum,84.542855590662498,-1.05
0.5,0.75,Einfarbig,214.43341924490801,-2.1600000000000001
1.5,0.75,Abstrakt,37.1927038842596,1.0900000000000001
1.25,1.5,Abstrakt,37.1927038842596,-0.60999999999999999
1,1.25,DunkelRaum,84.542855590662498,-0.71999999999999997
0.75,1.25,DunkelCanyon,64.577521075824905,-0.87
1,0.75,DunkelCanyon,64.577521075824905,-1.48
0.75,0.5,Detailarm,195.98092322969899,-2.1099999999999999
1.5,0.5,Detailarm,195.98092322969899,-0.59999999999999998
0.75,1.25,Abstrakt,37.1927038842596,-1.0700000000000001
1.5,0.75,Einfarbig,214.43341924490801,0.94999999999999996
0.5,1.25,DunkelStadt,57.461932560403802,-2.7999999999999998
1,1.5,Abstrakt,37.1927038842596,-1.03
1.5,0.5,DunkelCanyon,64.577521075824905,-3
0.5,0.75,Abstrakt,37.1927038842596,-1.21
1.25,1.25,DunkelCanyon,64.577521075824905,0.87
0.5,1,Einfarbig,214.43341924490801,-1.3400000000000001
1,1.25,Abstrakt,37.1927038842596,0.27000000000000002
1.5,1,Bunt,103.440234921044,-1.03
1.5,0.5,DunkelStadt,57.461932560403802,-2.0600000000000001
1.5,1,Abstrakt,37.1927038842596,0.33000000000000002
1.5,1.5,Abstrakt,37.1927038842596,-1.51
1.5,1,Einfarbig,214.43341924490801,1.03
1.5,1.25,DunkelCanyon,64.577521075824905,-2.6499999999999999
0.5,1.5,Detailarm,195.98092322969899,-1.79
1.25,1,Detailarm,195.98092322969899,-0.42999999999999999
1,0.75,Abstrakt,37.1927038842596,0.85999999999999999
1,0.75,Bunt,103.440234921044,1.04
1,1.25,DunkelCanyon,64.577521075824905,-1.9199999999999999
1.5,0.75,DunkelCanyon,64.577521075824905,-2.2799999999999998
1.25,1.5,Bunt,103.440234921044,-2.1600000000000001
0.5,0.5,DunkelCanyon,64.577521075824905,-2.8100000000000001
1.5,0.75,DunkelStadt,57.461932560403802,1.03
0.75,1.5,DunkelRaum,84.542855590662498,-0.84999999999999998
1.5,1.5,Bunt,103.440234921044,-2.1600000000000001
1.25,0.75,Detailarm,195.98092322969899,0.48999999999999999
0.75,1,DunkelRaum,84.542855590662498,0.95999999999999996
0.75,0.75,Detailarm,195.98092322969899,-2.04
0.5,0.75,Bunt,103.440234921044,-2.7599999999999998
1,1.5,DunkelStadt,57.461932560403802,-1.01
0.5,1,Detailarm,195.98092322969899,-2.1899999999999999
1.5,0.5,Bunt,103.440234921044,-1.25
1.5,0.75,Bunt,103.440234921044,1.04
1,1.5,DunkelRaum,84.542855590662498,-0.57999999999999996
1.25,0.75,Einfarbig,214.43341924490801,0.82999999999999996
1,0.5,DunkelStadt,57.461932560403802,-2.4300000000000002
1.5,1.25,Einfarbig,214.43341924490801,-1.8799999999999999
0.75,1.5,Einfarbig,214.43341924490801,-1.55
0.5,1.25,Einfarbig,214.43341924490801,-2.1499999999999999
0.75,1.25,DunkelRaum,84.542855590662498,-0.90000000000000002
0.5,1,Bunt,103.440234921044,-2.2799999999999998
1.5,1.25,DunkelRaum,84.542855590662498,-1.75
1,0.75,Einfarbig,214.43341924490801,-1.1100000000000001
1.5,0.75,Detailarm,195.98092322969899,-0.40000000000000002
0.75,1.5,DunkelCanyon,64.577521075824905,-1.3600000000000001
0.75,0.5,DunkelRaum,84.542855590662498,-2.9900000000000002
1.5,1,DunkelCanyon,64.577521075824905,-1.1499999999999999
0.5,0.5,DunkelRaum,84.542855590662498,-3
0.5,0.75,DunkelCanyon,64.577521075824905,-1.98
0.75,1,Bunt,103.440234921044,-0.96999999999999997
0.5,0.75,DunkelStadt,57.461932560403802,-2.3900000000000001
1.25,0.75,DunkelCanyon,64.577521075824905,-1.8300000000000001
0.75,0.75,DunkelStadt,57.461932560403802,-1.3
0.75,0.5,DunkelStadt,57.461932560403802,-2.1099999999999999
1.5,0.5,DunkelRaum,84.542855590662498,-2.23
1,0.5,Einfarbig,214.43341924490801,-1.0800000000000001
1.25,1.25,DunkelRaum,84.542855590662498,-0.93000000000000005
0.75,1,DunkelStadt,57.461932560403802,-0.41999999999999998
1.25,0.5,Abstrakt,37.1927038842596,-2.02
0.75,0.75,DunkelRaum,84.542855590662498,-2.23
1.25,1,Einfarbig,214.43341924490801,0.53000000000000003
1.25,1,DunkelRaum,84.542855590662498,-1.8
1,1.5,DunkelCanyon,64.577521075824905,-0.98999999999999999
0.5,1,DunkelRaum,84.542855590662498,-1.25
1.25,0.75,DunkelRaum,84.542855590662498,-1.25
1.25,1,DunkelStadt,57.461932560403802,0.040000000000000001
0.75,1.5,Bunt,103.440234921044,-1.4199999999999999
1.25,1.5,DunkelCanyon,64.577521075824905,-1.3799999999999999
1.5,1.25,Detailarm,195.98092322969899,-0.63
0.75,1.5,Detailarm,195.98092322969899,-1.1000000000000001
0.75,1,Abstrakt,37.1927038842596,-1.6200000000000001
1.25,1.25,Abstrakt,37.1927038842596,-0.84999999999999998
0.5,0.75,DunkelRaum,84.542855590662498,-2.9700000000000002
1.25,0.75,DunkelStadt,57.461932560403802,0.93999999999999995
0.5,0.5,Einfarbig,214.43341924490801,-2.54
0.75,0.5,Abstrakt,37.1927038842596,-2
1.5,1.5,Detailarm,195.98092322969899,-1.01
1,1.25,DunkelStadt,57.461932560403802,-1.05
1.25,1,Abstrakt,37.1927038842596,0.29999999999999999
0.75,0.5,Bunt,103.440234921044,-2.4199999999999999
1.5,1.5,DunkelCanyon,64.577521075824905,-2.6899999999999999
